rootcause,faulttype,injectionver,pattern,score,in,out,localizedat
admin-order,abort,1011,"admin-order,","2286.29,","2312,","0,",1
admin-order,abort,1015,"admin-order,","1315.19,","1331,","0,",1
admin-order,cpu,1014,"admin-order,basic,ts-ui-dashboard,station,order,","39.87,4.14,2.82,2.37,0.13,","109,0,31,35,1,","0,33,0,0,0,",1
admin-order,cpu,1016,"admin-order,","80.95,","118,","0,",1
assurance,abort,1011,"assurance,","50.02,","51,","0,",1
assurance,abort,1015,"assurance,","74.00,","74,","0,",1
assurance,cpu,1012,"assurance,preserve,","76.13,6.21,","101,0,","0,30,",1
assurance,cpu,1016,"assurance,preserve,","31.02,0.94,","54,0,","0,8,",1
assurance,delay,1010,"assurance,preserve,user,","113.50,0.77,0.11,","121,10,1,","0,15,0,",1
assurance,delay,1014,"assurance,preserve,","108.45,0.20,","121,18,","0,19,",1
assurance+seat,cpu,1021,"seat,assurance,travel,","47.22,38.82,24.51,","88,81,12,","0,0,80,",-1
auth,abort,1011,"auth,assurance,","45.13,30.13,","82,67,","0,0,",1
auth,abort,1015,"auth,assurance,ts-ui-dashboard,","50.40,22.12,20.36,","116,77,74,","0,0,0,",1
auth,cpu,1012,"assurance,ts-ui-dashboard,auth,","29.72,26.20,12.20,","79,74,56,","0,0,0,",3
auth,cpu,1016,"assurance,auth,","30.50,21.29,","61,52,","0,0,",2
auth,delay,1010,"auth,assurance,ts-ui-dashboard,","32.99,31.20,6.68,","80,78,36,","0,0,0,",1
auth,delay,1014,"assurance,auth,ts-ui-dashboard,","28.06,27.57,3.65,","67,66,24,","0,0,0,",2
basic,abort,1011,"basic,route-plan,travel-plan,ticketinfo,travel,","16.96,2.08,1.88,1.00,0.96,","21,0,7,20,19,","0,6,0,21,20,",1
basic,abort,1015,"basic,route-plan,travel-plan,ticketinfo,","28.59,5.09,3.82,1.00,","34,0,12,35,","0,14,0,34,",1
basic,abort,1023,"ticketinfo,travel,travel-plan,basic,route-plan,","85.47,46.00,39.00,31.56,24.28,","157,111,78,71,0,","71,157,0,0,57,",4
basic,cpu,1012,"basic,travel,train,ticketinfo,travel2,preserve,travel-plan,","58.07,19.80,4.73,3.57,2.43,1.10,0.82,","65,24,6,61,1,9,7,","0,60,0,65,12,13,11,",1
basic,cpu,1016,"basic,travel,preserve,","46.33,12.74,0.35,","49,20,9,","0,45,10,",1
basic,delay,0414,"travel,ui-dashboard,basic,food,station,security,order-other,preserve,ticketinfo,route-plan,travel2,","3.39,2.22,2.12,2.00,1.52,1.40,1.38,0.92,0.77,0.71,0.16,","0,0,16,12,9,1,0,0,21,0,7,","16,12,0,0,0,8,9,5,16,7,5,",3
basic,delay,0415,,,,,-1
basic,delay,0415,"ticketinfo,route-plan,","2.73,1.50,","11,0,","6,3,",-1
basic,delay,0420,"basic,travel,route-plan,ui-dashboard,ticketinfo,inside-payment,","9.29,6.98,0.88,0.64,0.37,0.26,","25,0,0,0,26,2,","0,22,4,4,25,0,",1
basic,delay,1025,"basic,travel,ticketinfo,","80.28,61.94,6.92,","85,9,78,","0,78,85,",1
basic+train,cpu,1017,"train,basic,travel,seat,ticketinfo,","8.14,5.94,1.88,0.76,0.75,","12,17,16,15,16,","0,9,20,14,17,",-1
basic+train,cpu,1021,"ticketinfo,train,basic,travel,seat,travel-plan,","20.21,12.09,8.86,2.05,1.53,0.62,","6,19,29,9,7,0,","29,0,18,3,0,4,",-1
basic+train,delay,1021,"train,basic,seat,travel,","19.03,7.27,2.70,1.00,","23,23,16,25,","0,13,19,26,",-1
cancel,abort,1011,"cancel,","37.53,","42,","0,",1
cancel,abort,1015,"cancel,","60.00,","60,","0,",1
cancel,abort,1023,"cancel,","36.21,","39,","0,",1
cancel,cpu,1012,,,,,-1
cancel,cpu,1016,,,,,-1
cancel,delay,1010,"cancel,","18.78,","36,","0,",1
cancel,delay,1014,"cancel,","24.92,","36,","0,",1
cancel,delay,1025,"cancel,","12.56,","38,","0,",1
config,abort,1011,"config,travel,seat,","27.46,6.00,4.00,","31,29,35,","0,35,31,",1
config,abort,1015,"config,travel,","16.96,1.00,","21,22,","0,21,",1
config,cpu,1012,"config,seat,","35.43,1.38,","47,45,","0,47,",1
config,cpu,1016,"config,seat,","17.65,2.08,","28,25,","0,28,",1
config,delay,1010,"config,travel,preserve,seat,","23.40,8.65,3.18,1.69,","39,26,16,41,","0,41,8,39,",1
config,delay,1014,"config,travel,preserve,seat,","16.67,1.69,1.50,0.92,","20,14,6,19,","0,19,2,20,",1
config,delay,1025,"config,seat,travel,preserve,","151.30,128.78,42.70,1.03,","158,15,55,18,","0,158,1,21,",1
contacts,abort,1011,"contacts,","73.01,","74,","0,",1
contacts,abort,1015,"contacts,","45.00,","45,","0,",1
contacts,cpu,1014,"contacts,station,","66.28,0.03,","85,1,","0,0,",1
contacts,cpu,1016,"contacts,preserve,seat,","85.01,1.57,1.30,","101,0,10,","0,14,0,",1
contacts,delay,1010,"contacts,preserve,","97.37,2.12,","118,22,","0,9,",1
contacts,delay,1014,"contacts,","77.00,","77,","0,",1
food,abort,1011,"food,","50.07,","52,","0,",1
food,abort,1015,"food,","66.03,","67,","0,",1
food,cpu,1014,"food,preserve,seat,","56.62,2.34,0.29,","108,0,3,","0,19,0,",1
food,cpu,1016,"food,","40.45,","60,","0,",1
food,delay,1010,"food,preserve,","100.66,0.30,","144,33,","0,34,",1
food,delay,1014,"food,preserve,","63.68,0.45,","79,9,","0,5,",1
food+seat,cpu,1017,"food,seat,travel,preserve,","26.25,9.63,6.61,4.78,","52,28,9,0,","0,0,24,18,",-1
food-map,abort,1011,"food-map,","45.43,","53,","0,",1
food-map,abort,1015,"food-map,food,","47.61,1.64,","53,55,","0,53,",1
food-map,abort,1023,"food-map,food,","139.11,119.20,","143,14,","0,143,",1
food-map,cpu,1012,"food-map,food,","60.57,10.62,","81,67,","0,81,",1
food-map,cpu,1016,"food-map,food,","39.84,6.67,","50,40,","0,50,",1
food-map,delay,1010,"food-map,food,","89.44,23.96,","111,82,","0,111,",1
food-map,delay,1014,"food-map,food,station,","55.07,5.32,0.15,","57,50,1,","0,57,0,",1
food-map,delay,1025,"food,food-map,","45.53,32.60,","133,71,","71,0,",2
inside-payment,abort,1011,"inside-payment,","32.00,","32,","0,",1
inside-payment,abort,1015,"inside-payment,","35.00,","35,","0,",1
inside-payment,cpu,1014,"inside-payment,ts-ui-dashboard,food,food-map,cancel,station,order,","7.44,5.63,2.31,1.70,1.53,0.34,0.08,","30,36,26,12,0,6,1,","0,0,12,0,15,0,0,",1
inside-payment,cpu,1016,"inside-payment,cancel,","24.45,4.63,","36,0,","0,19,",1
inside-payment,delay,1010,"inside-payment,cancel,","39.05,1.51,","48,21,","0,26,",1
inside-payment,delay,1014,"inside-payment,cancel,user,","21.84,1.07,0.27,","36,20,1,","0,16,0,",1
inside-payment,delay,1025,"inside-payment,notification,cancel,preserve,","38.06,2.57,1.44,0.90,","65,11,34,11,","0,0,29,0,",1
notification,abort,1015,"notification,cancel,preserve,","33.28,6.02,0.36,","42,0,15,","0,27,14,",1
notification,cpu,1012,,,,,-1
notification,cpu,1016,"notification,cancel,","5.49,2.68,","15,0,","0,15,",1
notification,delay,1010,"notification,preserve,","12.10,3.23,","15,10,","0,0,",1
notification,delay,1014,"notification,preserve,cancel,","19.38,1.83,1.13,","33,11,36,","0,0,33,",1
notification,delay,1025,"notification,preserve,cancel,user,","9.87,8.67,0.27,0.25,","25,27,26,1,","0,1,25,0,",1
order,abort,1011,"order,travel-plan,route-plan,travel,","17.64,6.24,5.72,1.85,","21,12,0,23,","0,0,11,21,",1
order,abort,1015,"order,travel-plan,route-plan,travel,","26.56,14.24,14.24,2.86,","33,23,0,36,","0,0,23,33,",1
order,abort,1023,"order,travel-plan,route-plan,","19.61,4.90,4.25,","31,15,0,","0,0,13,",1
order,cpu,1012,"order,station,travel,seat,preserve,security,","30.33,10.85,2.63,1.25,0.29,0.13,","79,33,12,19,9,8,","33,0,25,23,11,9,",1
order,cpu,1016,"order,travel,seat,","98.67,7.40,3.86,","137,32,41,","0,54,50,",1
order,delay,1010,"order,","23.00,","23,","0,",1
order,delay,1014,"order,","31.32,","34,","0,",1
order,delay,1025,"order,seat,preserve,travel,train,security,","69.34,19.87,5.34,3.69,0.80,0.46,","103,41,11,29,2,16,","0,70,30,37,0,14,",1
order+train,cpu,1021,"train,order,basic,seat,travel,ticketinfo,security,station,preserve,","15.23,10.70,7.83,7.00,6.89,2.71,0.42,0.31,0.25,","28,29,0,19,11,5,4,1,7,","0,0,14,0,30,0,2,0,8,",-1
order-other,abort,1011,"order-other,route-plan,preserve,travel-plan,travel2,","42.32,0.98,0.76,0.72,0.28,","46,0,16,6,7,","0,7,18,0,5,",1
order-other,abort,1015,"order-other,route-plan,security,travel2,","67.16,0.95,0.68,0.32,","76,0,26,9,","0,9,24,6,",1
order-other,abort,1023,"order-other,security,preserve,","28.45,4.29,0.89,","43,21,23,","0,12,21,",1
order-other,cpu,1012,"order-other,","115.49,","204,","0,",1
order-other,cpu,1016,"order-other,admin-order,seat,","145.61,1.81,0.62,","211,29,11,","0,16,16,",1
order-other,delay,0414,"order-other,ui-dashboard,preserve,order,security,","10.57,3.97,3.43,2.34,0.24,","32,0,0,17,16,","0,28,15,0,17,",1
order-other,delay,0420,"order-other,ui-dashboard,inside-payment,","43.57,24.67,1.27,","66,0,8,","0,70,0,",1
order-other,delay,1010,"order-other,","94.02,","95,","0,",1
order-other,delay,1014,"order-other,travel,order,seat,preserve,","147.84,0.69,0.48,0.13,0.10,","159,0,7,6,5,","0,7,0,7,4,",1
order-other+assurance,cpu,1021,"order-other,assurance,seat,admin-order,travel,order,","66.63,25.96,1.34,1.26,0.97,0.62,","165,92,11,25,0,9,","0,0,0,12,9,0,",-1
payment,abort,1015,"payment,inside-payment,","31.24,0.97,","34,33,","0,34,",1
payment,cpu,1014,"payment,inside-payment,ts-ui-dashboard,","8.33,3.21,0.12,","15,0,5,","0,15,0,",1
payment,cpu,1016,"payment,inside-payment,","16.00,6.24,","16,0,","0,16,",1
payment,delay,1010,"payment,inside-payment,","14.81,1.60,","20,16,","0,20,",1
payment,delay,1014,"payment,inside-payment,","21.43,0.58,","30,29,","0,30,",1
payment,delay,1025,"inside-payment,payment,ts-ui-dashboard,order,","9.63,2.88,0.21,0.08,","31,12,8,2,","12,0,0,0,",2
preserve,abort,1011,"preserve,","30.00,","30,","0,",1
preserve,abort,1015,"preserve,","67.01,","68,","0,",1
preserve,cpu,1012,,,,,-1
preserve,cpu,1016,,,,,-1
preserve,delay,1025,"preserve,","15.52,","32,","0,",1
price,abort,1015,"price,route-plan,travel-plan,basic,travel,ticketinfo,","14.24,9.71,7.29,3.20,1.89,0.86,","22,0,15,26,27,25,","0,17,0,22,25,26,",1
price,abort,1024,"ticketinfo,travel,price,basic,route-plan,travel-plan,","16.00,13.20,12.24,8.47,5.88,5.14,","16,31,24,33,0,14,","33,16,0,24,16,0,",3
price,cpu,1014,"price,basic,","49.78,26.08,","56,0,","0,56,",1
price,cpu,1016,"price,basic,ticketinfo,","30.42,28.12,6.66,","37,0,9,","0,37,0,",1
price,delay,1014,"price,basic,ticketinfo,travel,preserve,","10.62,2.88,2.19,1.01,0.74,","19,15,18,8,7,","0,19,15,11,9,",1
price,delay,1025,"price,basic,ticketinfo,","21.12,1.88,0.97,","26,24,25,","0,26,24,",1
price+admin-order,cpu,1021,"admin-order,price,basic,ticketinfo,","23.52,12.37,8.14,0.67,","59,35,0,3,","0,0,35,0,",-1
route,abort,1024,"route,route-plan,travel,travel-plan,","11.76,6.46,5.53,3.40,","24,0,30,10,","0,17,24,0,",1
route,cpu,1014,"route,travel,food,seat,ticketinfo,basic,station,preserve,","36.60,8.15,7.22,2.39,1.49,0.98,0.40,0.18,","58,52,34,26,26,23,1,9,","0,63,18,32,23,25,0,10,",1
route,cpu,1016,"route,basic,food,ticketinfo,seat,","46.85,8.57,4.87,2.86,0.71,","57,0,27,8,21,","0,24,34,0,23,",1
route,delay,0414,"route,route-plan,travel,","7.42,6.91,2.84,","39,0,0,","0,19,20,",1
route,delay,0415,,,,,-1
route,delay,0415,"travel,order,route,basic,seat,","23.25,22.89,3.88,0.79,0.74,","0,29,5,0,28,","30,0,0,1,27,",3
route,delay,0421,,,,,-1
route,delay,1014,"route,travel,ticketinfo,seat,basic,route-plan,travel-plan,","20.17,3.68,1.52,1.42,1.38,0.33,0.17,","22,18,8,11,6,2,2,","0,22,6,13,8,4,3,",1
route-plan,abort,1011,"travel-plan,","33.11,","35,","0,",-1
route-plan,abort,1015,"travel-plan,","34.59,","42,","0,",-1
seat,abort,1011,"seat,travel-plan,route-plan,travel,","27.07,2.70,2.40,1.00,","28,9,0,29,","0,0,8,28,",1
seat,abort,1015,"seat,travel-plan,route-plan,travel,","27.57,10.30,10.30,5.87,","36,22,0,42,","0,0,22,36,",1
seat,abort,1024,"seat,ts-ui-dashboard,route-plan,travel,travel-plan,","12.52,6.69,3.00,2.98,2.37,","26,19,0,21,8,","0,0,9,26,0,",1
seat,cpu,1014,"seat,travel,ticketinfo,","27.62,6.36,3.10,","49,25,6,","0,40,0,",1
seat,cpu,1016,"seat,","25.53,","28,","0,",1
seat,delay,1010,"seat,train,","14.29,0.71,","20,1,","0,0,",1
seat,delay,1014,"seat,travel,preserve,","14.00,2.79,1.10,","23,14,4,","7,22,7,",1
seat,delay,1025,"travel,notification,cancel,preserve,user,","1.87,0.95,0.26,0.18,0.09,","9,4,0,2,1,","0,0,4,1,0,",-1
security,abort,1023,"preserve,security,","17.22,10.52,","38,22,","20,0,",2
security,cpu,1012,,,,,-1
security,cpu,1016,,,,,-1
security,delay,0421,"cancel,consign,inside-payment,ui-dashboard,","0.33,0.33,0.12,0.05,","0,2,1,0,","1,0,0,2,",-1
security,delay,1010,"security,preserve,","7.69,5.85,","10,16,","0,8,",1
security,delay,1014,"security,preserve,","5.62,5.40,","10,18,","0,9,",1
security,delay,1025,"security,preserve,","25.14,8.45,","44,54,","0,42,",1
station,abort,1011,"station,travel,route-plan,ticketinfo,travel-plan,basic,","20.83,5.49,4.83,4.44,3.43,2.75,","27,31,0,25,10,30,","0,25,13,30,0,27,",1
station,abort,1015,"station,route-plan,travel-plan,travel,ticketinfo,basic,","33.56,8.30,7.81,1.91,1.86,0.93,","37,0,16,32,34,36,","0,17,0,34,36,37,",1
station,abort,1023,"station,ticketinfo,basic,route-plan,travel,travel-plan,","39.10,38.27,17.83,16.74,14.25,7.65,","68,50,91,0,68,27,","0,91,68,41,50,0,",1
station,cpu,1012,"station,seat,ticketinfo,order,travel,basic,food,order-other,","30.16,4.19,2.33,2.21,2.03,1.52,0.47,0.15,","40,6,22,7,18,27,10,6,","0,16,27,2,21,24,8,5,",1
station,cpu,1016,"station,travel,food,order,route,","53.64,3.67,2.46,1.00,0.28,","82,4,13,25,1,","0,15,22,22,0,",1
station,delay,0402,"cancel,inside-payment,travel2,route-plan,","1.04,0.74,0.55,0.38,","0,7,9,0,","5,0,0,8,",-1
station,delay,0414,"security,order-other,station,order,","2.44,2.21,0.74,0.61,","1,0,14,11,","11,14,0,0,",3
station,delay,0421,"cancel,inside-payment,ui-dashboard,order,station,","1.88,1.81,0.14,0.09,0.01,","2,7,0,0,1,","5,0,4,1,0,",5
station,delay,1025,"station,travel,ticketinfo,basic,","44.18,23.82,5.00,0.96,","47,16,43,48,","0,43,48,47,",1
station+basic,delay,1021,"station,travel,seat,ticketinfo,travel-plan,","25.87,17.50,3.28,3.25,0.61,","34,10,7,30,5,","0,31,0,34,1,",-1
ticketinfo,abort,1011,"ticketinfo,travel-plan,route-plan,travel,","34.11,7.58,7.58,1.95,","36,16,0,34,","0,0,16,36,",1
ticketinfo,abort,1024,"ticketinfo,travel,route-plan,travel-plan,ts-ui-dashboard,","108.17,62.41,10.18,7.49,3.21,","134,60,0,21,23,","0,134,30,0,0,",1
ticketinfo,cpu,1014,"ticketinfo,travel,","28.70,9.70,","44,17,","0,44,",1
ticketinfo,cpu,1016,"ticketinfo,seat,travel,preserve,route,","25.10,9.60,4.43,1.14,0.43,","26,0,15,4,1,","0,12,26,7,0,",1
ticketinfo,delay,0402,,,,,-1
ticketinfo,delay,0402,"cancel,inside-payment,travel2,route-plan,","1.29,0.82,0.55,0.47,","0,8,9,0,","6,0,0,9,",-1
ticketinfo,delay,0414,"preserve,ticketinfo,order,order-other,travel,station,route-plan,security,","8.27,3.41,2.70,2.29,1.63,1.36,1.15,0.76,","0,24,19,0,0,11,0,17,","23,0,0,11,13,0,8,15,",2
ticketinfo,delay,0421,"cancel,inside-payment,ui-dashboard,","2.67,1.67,0.02,","0,5,0,","4,0,1,",-1
ticketinfo,delay,0430,,,,,-1
ticketinfo,delay,0430,"inside-payment,ui-dashboard,","11.14,1.02,","12,0,","0,13,",-1
ticketinfo,delay,1010,"ticketinfo,travel,seat,","31.24,17.49,3.38,","34,16,0,","0,34,5,",1
ticketinfo,delay,1025,"ticketinfo,travel,","29.41,19.25,","32,11,","0,32,",1
train,abort,1011,"train,travel-plan,route-plan,basic,travel,ticketinfo,","32.44,7.74,7.33,6.88,5.37,2.95,","43,21,0,50,41,47,","0,0,19,43,47,50,",1
train,abort,1015,"train,route-plan,travel-plan,travel,basic,ticketinfo,","25.93,15.07,12.70,3.81,1.95,0.93,","33,0,21,38,35,34,","0,24,0,34,33,35,",1
train,cpu,1012,"train,basic,ticketinfo,seat,travel,","72.99,11.63,8.40,7.00,4.17,","92,38,48,61,83,","0,51,38,69,90,",1
train,cpu,1016,"train,ticketinfo,basic,seat,travel,preserve,","62.32,10.86,9.84,5.01,4.80,2.47,","70,16,28,44,54,16,","0,28,39,50,63,22,",1
train,delay,0414,"security,preserve,order-other,","5.43,3.58,1.96,","0,0,0,","15,10,11,",-1
train,delay,0415,,,,,-1
train,delay,0415,"station,basic,ui-dashboard,travel,food,order-other,order,security,","5.22,3.55,3.33,2.61,0.20,0.18,0.13,0.10,","8,12,0,8,2,0,1,2,","0,6,10,12,0,2,0,1,",-1
train,delay,0429,,,,,-1
train,delay,0429,"cancel,inside-payment,ui-dashboard,","1.00,0.67,0.02,","1,2,0,","2,0,1,",-1
train,delay,0430,,,,,-1
train,delay,0430,"train,seat,travel,basic,route-plan,","14.50,6.45,5.00,2.28,2.09,","29,4,17,11,0,","0,21,27,7,6,",1
train,delay,1010,"train,basic,seat,travel,ticketinfo,","31.61,8.12,3.51,1.75,1.71,","36,12,28,32,14,","0,21,24,36,12,",1
train,delay,1025,"train,seat,ticketinfo,basic,","46.54,22.51,13.48,10.76,","55,19,14,29,","0,45,29,41,",1
train+order,delay,1021,"train,travel,order,ticketinfo,basic,seat,","23.48,19.69,16.80,3.49,0.80,0.79,","30,20,27,26,22,28,","0,41,0,22,21,29,",-1
travel,abort,1011,"travel,travel-plan,route-plan,auth,","28.15,7.04,4.43,0.29,","35,18,0,5,","0,0,12,0,",1
travel,abort,1015,"travel,route-plan,travel-plan,","47.00,15.98,14.86,","47,0,26,","0,27,0,",1
travel,cpu,1014,"travel,food,seat,station,preserve,","19.86,2.10,0.85,0.56,0.31,","40,27,13,2,5,","10,23,16,0,7,",1
travel,cpu,1016,"travel,food,","25.52,2.45,","54,24,","24,28,",1
travel,delay,0415,,,,,-1
travel,delay,0415,"travel,basic,station,route-plan,ui-dashboard,ticketinfo,","91.20,76.95,4.17,2.50,1.92,0.79,","0,113,23,0,0,114,","114,15,0,8,4,113,",1
travel,delay,1010,"travel,seat,food,order,preserve,user,","27.34,1.85,1.60,0.75,0.12,0.11,","50,19,23,3,4,1,","17,24,26,0,5,0,",1
travel,delay,1014,"travel,food,seat,order,","23.84,2.13,1.05,0.14,","33,25,4,2,","4,22,9,0,",1
travel,delay,1025,"travel,seat,food,notification,preserve,","21.02,11.25,6.90,0.50,0.33,","34,9,19,3,5,","0,30,3,0,7,",1
travel-plan,abort,1015,"travel-plan,","53.15,","56,","0,",1
travel-plan,cpu,1012,"travel-plan,","9.63,","17,","0,",1
travel-plan,delay,0430,,,,,-1
travel-plan,delay,0430,"inside-payment,ui-dashboard,cancel,","51.13,4.57,0.83,","52,0,7,","0,59,0,",-1
user,abort,1011,"user,cancel,preserve,seat,","25.14,5.01,0.27,0.23,","27,0,5,0,","0,19,6,1,",1
user,abort,1015,"user,cancel,preserve,","23.52,5.41,0.32,","27,0,8,","0,20,7,",1
user,abort,1023,"user,preserve,","18.56,12.01,","35,35,","0,10,",1
user,cpu,1012,"user,cancel,preserve,","29.82,3.56,2.84,","43,0,0,","0,21,16,",1
user,cpu,1016,"user,cancel,preserve,","27.57,4.84,2.12,","36,0,0,","0,24,11,",1
user,delay,0421,"cancel,inside-payment,ui-dashboard,","1.00,0.69,0.04,","2,3,0,","3,0,2,",-1
user,delay,0430,,,,,-1
user,delay,0430,"train,basic,travel,route-plan,","5.40,2.25,1.36,1.26,","9,3,11,0,","0,0,13,2,",-1
user,delay,1010,"user,preserve,cancel,","32.07,1.02,0.95,","42,16,24,","0,13,27,",1
user,delay,1014,"user,ticketinfo,preserve,","16.41,0.36,0.35,","19,1,8,","0,0,7,",1
user,delay,1025,"user,preserve,notification,cancel,preserve-other,","9.76,6.12,1.51,1.05,0.73,","24,19,7,15,3,","0,0,0,19,8,",1
user+verification-code,cpu,1021,"verification-code,auth,user,preserve,","48.52,5.52,3.45,1.21,","87,0,20,0,","0,28,0,13,",-1
verification-code,abort,1011,"verification-code,","952.87,","1100,","0,",1
verification-code,abort,1015,"verification-code,","589.35,","650,","0,",1
verification-code,abort,1023,"verification-code,","1457.36,","1772,","0,",1
verification-code,cpu,1012,"verification-code,auth,train,seat,ticketinfo,","109.94,6.62,0.87,0.58,0.36,","181,0,11,7,5,","0,41,0,0,0,",1
verification-code,cpu,1016,"verification-code,auth,","94.01,1.96,","148,0,","0,20,",1
verification-code,delay,1010,"verification-code,assurance,","224.51,6.83,","294,51,","0,0,",1
verification-code,delay,1014,"verification-code,assurance,auth,","123.25,3.73,0.29,","151,26,23,","0,0,25,",1
verification-code,delay,1025,"verification-code,assurance,auth,","135.32,4.34,0.63,","195,35,33,","0,0,36,",1
